stock,time,prices,shares
BUD,09:38:13.35,103.95,100
ARCAY,09:32:30.80,33.65,92
GRBG,09:30:16.80,1.0E-4,30
APOL,09:38:09.78,27.04,100
SVU,09:38:05.98,7.17,100
GRT.PR.I,09:30:03.88,21.35,1
GRT.PR.H,09:30:00.45,23.0,297
OBTLY,09:30:12.60,2.35,125
BUI,09:36:31.78,17.84,47
APOG,09:36:48.53,35.88,14
IRET.PR.B,09:36:59.48,25.4,1
EXMRF,09:30:44.00,15.36,100
BSRC,09:30:11.60,0.1024,82
SWC,09:38:08.55,12.57,55
NVTL,09:36:18.45,2.35,46
SWI,09:38:08.53,37.7589,200
XBOR,09:30:03.20,0.38,73
SWK,09:38:06.40,80.52,100
APPY,09:35:01.15,2.1201,100
SWJ,09:37:42.43,21.3,12
APPZ,09:30:13.20,0.01,5350
SWM,09:37:52.50,50.74,100
LPNT,09:35:29.98,52.61,9
NESI,09:30:12.80,0.3,100
BBRG,09:36:49.23,16.36,11
SWN,09:38:10.83,38.98,100
BVA,09:30:00.65,4.0,2100
XSPY,09:34:38.20,1.37,2400
BBRC,09:30:01.13,20.37,746
SWS,09:37:10.60,6.08,16
SWY,09:38:13.35,32.54,100
YESD,09:30:18.00,4.0E-4,4000
SWX,09:37:30.23,55.51,25
DRAGF,09:30:05.20,9.183,500
SWZ,09:30:00.90,13.85,8300
CETV,09:38:12.48,3.72,100
BVN,09:38:01.03,11.58,499
GRAS,09:33:54.40,0.002,200000
APPA,09:35:22.40,0.4525,1000
SXC,09:38:11.48,22.72,100
MSTR,09:37:47.05,124.15,9
SXE,09:30:00.90,18.09,101
BVX,09:36:01.65,2.14,100
SXI,09:36:48.65,63.3,5
SXL,09:38:00.45,75.6,100
BBSI,09:37:34.68,91.7,38
BWA,09:38:07.35,55.52,5
CEVE,09:30:05.40,0.007,70
SXT,09:37:50.73,48.28,100
MSTX,09:37:47.95,0.451,100
BWC,09:38:11.00,34.0,100
CEVA,09:36:49.30,15.16,9
BWG,09:38:06.83,16.85,1000
BBRY,09:38:13.78,7.39,100
BWP,09:38:06.78,25.4004,100
SYA,09:36:45.28,18.8,14
BWS,09:38:13.28,28.275,100
BSTC,09:35:47.13,21.44,2
BWV,09:37:20.58,58.57,100
TYG.PR.B,09:34:21.55,8.43,93
BWX,09:38:09.83,57.3501,95
APSA,09:30:00.73,22.13,440
BWZ,09:35:45.70,35.6101,9
SYK,09:38:00.53,74.78,61
SYN,09:37:17.73,1.5299,700
BXC,09:37:57.50,1.93,183
BXE,09:37:05.50,7.3,100
MBRG,09:36:49.63,18.25,2
SYT,09:37:50.85,78.66,100
SYY,09:38:08.45,36.44,100
TGGI,09:36:16.60,1.0E-4,485000
SYX,09:37:48.73,11.39,6
APRI,09:38:13.13,2.63,300
GABC,09:36:49.35,29.46,4
BXP,09:38:00.78,99.79,100
BXS,09:38:08.18,25.025,100
SZC,09:36:32.30,24.82,153
KMPR,09:37:53.45,40.84,20
SZO,09:30:00.60,39.65,490
GCVRZ,09:38:03.05,0.3899,3300
BYD,09:37:50.55,11.28,100
BYI,09:38:06.83,78.5603,100
JTEKY,09:33:42.00,50.8,8
BYM,09:38:08.48,12.72,100
MSWM,09:30:14.00,0.4505,2555
GRFS,09:36:58.50,36.0,100
LPTH,09:30:00.25,1.37,600
LPTN,09:30:00.23,4.27,300
MBTF,09:30:02.73,4.47,197
PTAXF,09:30:06.00,0.3277,2500
NEWL,09:37:30.60,1.7348,1391
GACR,09:38:09.00,0.19,6850
BZC,09:30:00.13,9.24,100
CCLAY,09:31:53.20,21.33,9
BZF,09:30:01.20,17.18,4261
APTS,09:30:28.95,8.025,5900
LPSB,09:30:00.25,11.15,300
NEWT,09:37:46.45,3.14,100
GREK,09:36:20.18,22.75,100
XBTC,09:35:15.80,1.5,600
BZH,09:37:50.50,23.946,100
HKXCY,09:37:14.00,16.69,211
WPRT,09:37:45.35,19.39,100
NEWP,09:37:33.30,17.9,21
BBVA,09:38:07.53,12.04,100
BZM,09:30:03.28,12.55,1
NEWS,09:37:57.53,17.615,18
BZQ,09:37:53.00,84.4,400
APTL,09:30:13.40,24.5,1
HDGE,09:36:41.10,12.8,1998
LPSN,09:37:19.30,14.78,200
BZT,09:35:24.00,36.93,100
TOLWF,09:31:27.60,12.08,1000
MBWM,09:36:49.53,21.79,3
TGLP,09:30:14.60,0.06,300
GAGA,09:37:30.63,3.25,1
PLBC,09:30:00.30,6.2,17
SDIV,09:38:07.03,23.2,200
SDIR,09:31:53.60,0.015,3557
BLLAF,09:30:06.20,0.46,17500
MBVA,09:30:07.80,0.76,13
APWC,09:30:00.35,3.27,270
IGLD,09:36:42.28,8.86,100
MBVT,09:37:37.53,33.36,3
PLAB,09:36:49.20,8.95,22
TXMD,09:36:30.20,5.17,47
RRGB,09:38:04.28,72.98,90
ELAY,09:37:50.40,4.0E-4,2000000
ALL.PR.C,09:34:26.88,25.65,431
ALL.PR.D,09:38:08.13,24.85,300
PLCM,09:37:53.83,11.17,80
ABW.PR.B,09:36:32.80,27.59,91
ALL.PR.A,09:31:38.13,21.02,100
